participant,trial,response_time,group,trialOrder,correct,side,changeTrial,RTwoOutlier,phase
P44,26,3.111741066,TLD,6,1,right,1.0,3.111741066,implicit
P44,27,2.585175037,TLD,6,1,right,0.0,2.585175037,implicit
P44,28,2.626030207,TLD,6,1,left,1.0,2.626030207,implicit
P44,29,2.642430067,TLD,6,1,right,1.0,2.642430067,implicit
P44,30,2.562777996,TLD,6,1,left,1.0,2.562777996,implicit
P44,31,2.397499084,TLD,6,1,right,1.0,2.397499084,implicit
P44,32,3.060880184,TLD,6,1,left,1.0,3.060880184,implicit
P44,33,2.985262156,TLD,6,1,left,0.0,2.985262156,implicit
P44,34,2.530063868,TLD,6,1,right,1.0,2.530063868,implicit
P44,35,2.663930893,TLD,6,1,left,1.0,2.663930893,implicit
P44,36,2.559135914,TLD,6,1,right,1.0,2.559135914,implicit
P44,37,3.028800964,TLD,6,1,left,1.0,3.028800964,implicit
P44,38,2.647554874,TLD,6,1,right,1.0,2.647554874,implicit
P44,39,2.876827955,TLD,6,1,left,1.0,2.876827955,implicit
P44,40,4.670340061,TLD,6,1,left,0.0,4.670340061,implicit
P44,41,2.478893042,TLD,6,1,right,1.0,2.478893042,implicit
P44,42,3.36395812,TLD,6,1,right,0.0,3.36395812,implicit
P44,43,3.252085924,TLD,6,1,right,0.0,3.252085924,implicit
P44,44,2.643092871,TLD,6,1,left,1.0,2.643092871,implicit
P44,45,0.514332056,TLD,6,0,right,1.0,0.514332056,implicit
P44,46,3.227082968,TLD,6,1,left,1.0,3.227082968,implicit
P44,47,4.218476057,TLD,6,1,left,0.0,4.218476057,implicit
P44,48,2.76345396,TLD,6,1,right,1.0,2.76345396,implicit
P45,1,2.029699087,TLD,3,1,left,0.0,2.029699087,implicit
P45,2,3.627876997,TLD,3,1,right,1.0,3.627876997,implicit
P45,3,3.163201094,TLD,3,1,left,1.0,3.163201094,implicit
P45,4,2.360512018,TLD,3,1,right,1.0,2.360512018,implicit
P45,5,2.470210075,TLD,3,1,right,0.0,2.470210075,implicit
P45,6,2.893053055,TLD,3,1,left,1.0,2.893053055,implicit
P45,7,2.703367949,TLD,3,1,left,0.0,2.703367949,implicit
P45,8,2.160341024,TLD,3,1,right,1.0,2.160341024,implicit
P45,9,2.563928127,TLD,3,1,left,1.0,2.563928127,implicit
